"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Inside Out - DubVision Remix",0.799,-4.805,0.29,0.266,0.0551,0.719,2,"The Chainsmokers"
"Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,2,"The Chainsmokers"
"All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,2,"The Chainsmokers"
"Paris",0.644,-6.763,0.0888,0.251,0.031,0.646,2,"The Chainsmokers"
"Takeaway - Andrew Rayel Remix",0.83,-3.301,0.0875,0.162,0.0727,0.469,2,"The Chainsmokers"
"Setting Fires - Blasterjaxx Remix",0.938,-4.887,0.194,0.164,0.286,0.585,2,"The Chainsmokers"
"Inside Out - DubVision Remix",0.799,-4.805,0.29,0.266,0.0551,0.719,2,"The Chainsmokers"
"Call You Mine - Asketa & Natan Chaim Remix",0.844,-3.364,0.499,0.283,0.0406,0.577,1,"The Chainsmokers"
"Kills You Slowly",0.429,-8.736,0.128,0.242,0.0554,0.696,1,"The Chainsmokers"
"Takeaway",0.511,-8.144,0.101,0.351,0.0324,0.528,1,"The Chainsmokers"
"This Feeling (feat. Kelsea Ballerini)",0.651,-5.304,0.0662,0.474,0.0432,0.539,1,"The Chainsmokers"
"Hope",0.699,-5.982,0.0814,0.513,0.0958,0.773,1,"The Chainsmokers"
"Closer",0.541,-5.597,0.11,0.662,0.0297,0.736,1,"The Chainsmokers"
"Young",0.564,-6.384,0.148,0.454,0.0291,0.615,1,"The Chainsmokers"
"Kanye",0.619,-6.575,0.117,0.121,0.0523,0.599,1,"The Chainsmokers"
"Push My Luck - Famba Remix",0.811,-6.427,0.0553,0.339,0.0396,0.632,1,"The Chainsmokers"
"Siren",0.779,-4.284,0.371,0.264,0.107,0.588,1,"The Chainsmokers"
"Closer - T-Mass Remix",0.821,-4.338,0.0796,0.608,0.0444,0.7,1,"The Chainsmokers"
"Side Effects - Nolan van Lith Remix",0.939,-4.024,0.0561,0.516,0.0977,0.548,1,"The Chainsmokers"
"Sick Boy",0.58,-7.524,0.127,0.462,0.121,0.548,1,"The Chainsmokers"
"Honest - Gil Glaze Remix",0.93,-5.742,0.137,0.454,0.0404,0.558,1,"The Chainsmokers"
"Until You Were Gone",0.698,-4.773,0.131,0.324,0.0451,0.577,1,"The Chainsmokers"
"This Feeling - Tim Gunter Remix",0.859,-3.809,0.087,0.291,0.0803,0.415,1,"The Chainsmokers"
"Sick Boy - Owen Norton Remix",0.876,-4.03,0.0825,0.504,0.0606,0.735,1,"The Chainsmokers"
"Everybody Hates Me - Khrebto Remix",0.912,-3.017,0.365,0.304,0.129,0.407,1,"The Chainsmokers"
"Until You Were Gone - Reez Remix",0.733,-6.127,0.358,0.316,0.0569,0.509,1,"The Chainsmokers"
"Don't Let Me Down - Hardwell & Sephyx Remix",0.897,-3.418,0.0625,0.283,0.0454,0.509,1,"The Chainsmokers"
"Paris - VINAI Remix",0.822,-3.309,0.356,0.335,0.0432,0.532,1,"The Chainsmokers"
"Something Just Like This - R3hab Remix",0.585,-6.848,0.097,0.348,0.0366,0.705,1,"The Chainsmokers"
"Who Do You Love - R3HAB Remix",0.698,-6.87,0.185,0.357,0.0456,0.529,1,"The Chainsmokers"
"Everybody Hates Me - Steerner Remix",0.863,-6.239,0.107,0.499,0.0957,0.453,1,"The Chainsmokers"
"You Owe Me - Subfer Remix",0.782,-4.49,0.108,0.364,0.131,0.484,1,"The Chainsmokers"
"Honest - Tritonal Remix",0.749,-5.829,0.632,0.382,0.0526,0.352,1,"The Chainsmokers"
